runtime,seed,hour,coverage
Wasmtime,llvmbench,0,11.02
Wasmtime,llvmbench,4,11.97
Wasmtime,llvmbench,8,12.34
Wasmtime,llvmbench,12,13.51
Wasmtime,llvmbench,16,13.67
Wasmtime,llvmbench,20,14.17
Wasmtime,llvmbench,24,14.99
Wasmtime,wasmbench,0,12.31
Wasmtime,wasmbench,4,14.05
Wasmtime,wasmbench,8,14.87
Wasmtime,wasmbench,12,16.03
Wasmtime,wasmbench,16,16.98
Wasmtime,wasmbench,20,17.78
Wasmtime,wasmbench,24,18.14
Wasmtime,specbench,0,10.89
Wasmtime,specbench,4,11.77
Wasmtime,specbench,8,13.98
Wasmtime,specbench,12,14.01
Wasmtime,specbench,16,14.41
Wasmtime,specbench,20,15.14
Wasmtime,specbench,24,16.02
Wasmtime,rtbench,0,13.73
Wasmtime,rtbench,4,16.03
Wasmtime,rtbench,8,17.94
Wasmtime,rtbench,12,18.5
Wasmtime,rtbench,16,18.97
Wasmtime,rtbench,20,19.51
Wasmtime,rtbench,24,20.03
Wasmer,llvmbench,0,12.02
Wasmer,llvmbench,4,13.55
Wasmer,llvmbench,8,15.37
Wasmer,llvmbench,12,17.52
Wasmer,llvmbench,16,18.42
Wasmer,llvmbench,20,18.91
Wasmer,llvmbench,24,19.55
Wasmer,wasmbench,0,11.97
Wasmer,wasmbench,4,14.45
Wasmer,wasmbench,8,16.38
Wasmer,wasmbench,12,17.41
Wasmer,wasmbench,16,17.99
Wasmer,wasmbench,20,18.48
Wasmer,wasmbench,24,18.97
Wasmer,specbench,0,10.01
Wasmer,specbench,4,11.93
Wasmer,specbench,8,13.27
Wasmer,specbench,12,15.01
Wasmer,specbench,16,15.58
Wasmer,specbench,20,16.11
Wasmer,specbench,24,16.93
Wasmer,rtbench,0,16.12
Wasmer,rtbench,4,18.58
Wasmer,rtbench,8,20.49
Wasmer,rtbench,12,21.86
Wasmer,rtbench,16,22.47
Wasmer,rtbench,20,23.04
Wasmer,rtbench,24,23.52
WAMR,llvmbench,0,14.39
WAMR,llvmbench,4,15.21
WAMR,llvmbench,8,17.48
WAMR,llvmbench,12,18.97
WAMR,llvmbench,16,19.51
WAMR,llvmbench,20,19.93
WAMR,llvmbench,24,20.27
WAMR,wasmbench,0,17.71
WAMR,wasmbench,4,18.07
WAMR,wasmbench,8,20.53
WAMR,wasmbench,12,22.34
WAMR,wasmbench,16,23.43
WAMR,wasmbench,20,23.91
WAMR,wasmbench,24,24.48
WAMR,specbench,0,15.32
WAMR,specbench,4,15.86
WAMR,specbench,8,17.98
WAMR,specbench,12,21.08
WAMR,specbench,16,21.87
WAMR,specbench,20,22.03
WAMR,specbench,24,22.88
WAMR,rtbench,0,18.23
WAMR,rtbench,4,18.55
WAMR,rtbench,8,23.7
WAMR,rtbench,12,27.86
WAMR,rtbench,16,28.27
WAMR,rtbench,20,29.01
WAMR,rtbench,24,29.38
WasmEdge,llvmbench,0,27.53
WasmEdge,llvmbench,4,31.64
WasmEdge,llvmbench,8,34.71
WasmEdge,llvmbench,12,36.18
WasmEdge,llvmbench,16,36.45
WasmEdge,llvmbench,20,36.99
WasmEdge,llvmbench,24,37.22
WasmEdge,wasmbench,0,27.67
WasmEdge,wasmbench,4,30.28
WasmEdge,wasmbench,8,33.8
WasmEdge,wasmbench,12,36.57
WasmEdge,wasmbench,16,36.57
WasmEdge,wasmbench,20,36.88
WasmEdge,wasmbench,24,36.97
WasmEdge,specbench,0,19.81
WasmEdge,specbench,4,23.41
WasmEdge,specbench,8,29.63
WasmEdge,specbench,12,31.15
WasmEdge,specbench,16,34.91
WasmEdge,specbench,20,35.87
WasmEdge,specbench,24,37.05
WasmEdge,rtbench,0,28.57
WasmEdge,rtbench,4,38.4
WasmEdge,rtbench,8,39.38
WasmEdge,rtbench,12,40.67
WasmEdge,rtbench,16,41.02
WasmEdge,rtbench,20,41.25
WasmEdge,rtbench,24,41.42
